"ath1_probe";"probe_target_number";"FC_35LFY_Ler_GSE911";"pfp_35LFY_Ler_GSE911";"P.value_35LFY_Ler_GSE911";"FC_DexCyclo_Cyclo_GSE911";"pfp_FC_DexCyclo_Cyclo_GSE911";"P.value_FC_DexCyclo_Cyclo_GSE911";"FC_DEX_MOCK_GSE911";"pfp_DEX_MOCK_GSE911";"P.value_DEX_MOCK_GSE911";"FC_LFYGR_WT_GSE28062";"pfp_LFYGR_WT_GSE28062";"P.value_LFYGR_WT_GSE28062";"Locus.Identifier";"Annotation"
"250045_at";5145;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.5726;"0.0145";"0,0004";"AT5G17700";"MATE efflux family protein"
"250054_at";5154;2.7151;"0.0397";"0,0001";NA;NA;NA;NA;NA;NA;NA;NA;NA;"AT5G17860";"CAX7 (CALCIUM EXCHANGER 7); calcium:sodium antiporter/ cation:cation antiporter"
"250062_at";5162;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.5354;"0.0135";"0,0004";"AT5G17760";"AAA-type ATPase family protein"
"250090_at";5190;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.5834;"0.0348";"0.0015";"AT5G17330";"GAD (Glutamate decarboxylase 1); calmodulin binding"
"250097_at";5197;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.5108;"0.0218";"0,0004";"AT5G17280";"similar to Os09g0530900 [Oryza sativa (japonica cultivar-group)] (GB:NP_001063752.1); similar to unknown [Populus trichocarpa] (GB:ABK92656.1)"
"250103_at";5203;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.367;"0.001";"0";"AT5G16600";"MYB43 (myb domain protein 43); DNA binding / transcription factor"
"250108_at";5208;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.378;"0.0013";"0";"AT5G15150";"ATHB-3 (ARABIDOPSIS THALIANA HOMEOBOX 3); DNA binding / transcription factor"
"250113_at";5213;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.4405;"0.0414";"0,0009";"AT5G16320";"FRL1 (FRIGIDA LIKE 1)"
"250114_s_at";5214;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.7165;"0.0038";"0";"AT5G16370;AT5G16340";"[AT5G16370, AMP-binding protein, putative];[AT5G16340, AMP-binding protein, putative]"
"250127_at";5227;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.4174;"0.0413";"0,0009";"AT5G16380";"similar to unknown protein [Arabidopsis thaliana] (TAIR:AT3G07470.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO22944.1); contains InterPro domain Protein of unknown function DUF538 (InterPro:IPR007493)"
"250137_at";5237;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.3455;"0.0985";"0.0038";"AT5G15390";"tRNA/rRNA methyltransferase (SpoU) family protein"
"250141_at";5241;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.6069;"0.0199";"0,0007";"AT5G14640";"protein kinase family protein"
"250149_at";5249;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.6577;"0.0377";"0.0016";"AT5G14700";"cinnamoyl-CoA reductase-related"
"250152_at";5252;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.5597;"0.0124";"0,0004";"AT5G15120";"similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G39890.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO14912.1); contains InterPro domain Protein of unknown function DUF1637 (InterPro:IPR012864)"
"250155_at";5255;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.4167;"0.003";"0";"AT5G15160";"bHLH family protein"
"250156_at";5256;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.3457;"0.0928";"0.0034";"AT5G15170";"tyrosyl-DNA phosphodiesterase-related"
"250157_at";5257;0.2737;"0.0056";"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;"AT5G15180";"peroxidase, putative"
"250182_at";5282;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.9871;"0.0015";"0";"AT5G14470";"GHMP kinase-related"
"250184_at";5284;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.4202;"0.0391";"0,0008";"AT5G14240";"similar to unnamed protein product [Vitis vinifera] (GB:CAO14598.1); contains InterPro domain Phosducin (InterPro:IPR001200); contains InterPro domain Thioredoxin-like fold (InterPro:IPR012336); contains InterPro domain Thioredoxin fold (InterPro:IPR012335)"
"250201_at";5301;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.4876;"0.0076";"0,0002";"AT5G14230";"ankyrin repeat family protein"
"250207_at";5307;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.47;"0.0321";"0,0006";"AT5G13930";"ATCHS/CHS/TT4 (CHALCONE SYNTHASE); naringenin-chalcone synthase"
"250208_at";5308;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.6536;"0.0393";"0.0017";"AT5G14000";"ANAC084 (Arabidopsis NAC domain containing protein 84); transcription factor"
"250216_at";5316;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.3256;"0,0004";"0";"AT5G14090";"similar to hypothetical protein [Vitis vinifera] (GB:CAN72196.1)"
"250223_at";5323;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.2442;"0,0001";"0";"AT5G14070";"ROXY2; thiol-disulfide exchange intermediate"
"250228_at";5328;2.2246;"0.0811";"0,0005";NA;NA;NA;NA;NA;NA;NA;NA;NA;"AT5G13840";"WD-40 repeat family protein"
"250243_at";5343;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.3908;"0.0538";"0.0014";"AT5G13630";"GUN5 (GENOMES UNCOUPLED 5)"
"250248_at";5348;2.2146;"0.063";"0,0003";NA;NA;NA;NA;NA;NA;0.5111;"0.0072";"0,0002";"AT5G13740";"ZIF1 (ZINC INDUCED FACILITATOR 1); carbohydrate transmembrane transporter/ sugar:hydrogen ion symporter"
"250252_at";5352;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.4727;"0.0047";"0,0001";"AT5G13750";"ZIFL1 (ZINC INDUCED FACILITATOR-LIKE 1); tetracycline:hydrogen antiporter/ transporter"
"250258_at";5358;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.3367;"0,0005";"0";"AT5G13790";"AGL15 (AGAMOUS-LIKE 15); DNA binding / transcription factor"
"250264_at";5364;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.6399;"0.0303";"0.0012";"AT5G12890";"UDP-glucoronosyl/UDP-glucosyl transferase family protein"
"250268_s_at";5368;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.451;"0.0037";"0,0001";"AT5G12950;AT5G12960";"[AT5G12950, catalytic];[AT5G12960, catalytic]"
"250277_at";5377;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.4185;"0.0026";"0";"AT5G12940";"leucine-rich repeat family protein"
"250284_at";5384;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.4443;"0.0462";"0.0011";"AT5G13290";"protein kinase family protein"
"250287_at";5387;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.2476;"0,0002";"0";"AT5G13330";"RAP2.6L (related to AP2 6L); DNA binding / transcription factor"
"250292_at";5392;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.7327;"0.0035";"0";"AT5G13220";"JAS1/JAZ10/TIFY9 (JASMONATE-ZIM-DOMAIN PROTEIN 10)"
"250300_at";5400;NA;NA;NA;NA;NA;NA;NA;NA;NA;2.4676;"0,0001";"0";"AT5G11890";"similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G17620.1); similar to unknown [Populus trichocarpa] (GB:ABK93997.1); contains InterPro domain Harpin-induced 1 (InterPro:IPR010847)"
"250323_at";5423;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.5437;"0.0102";"0,0003";"AT5G12880";"proline-rich family protein"
"250326_at";5426;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.7106;"0.0034";"0";"AT5G12080";"mechanosensitive ion channel domain-containing protein / MS ion channel domain-containing protein"
"250327_at";5427;0.4963;"0.0934";"0,0007";NA;NA;NA;NA;NA;NA;NA;NA;NA;"AT5G12050";"similar to unnamed protein product [Vitis vinifera] (GB:CAO45643.1)"
"250333_at";5433;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.8195;"0.0018";"0";"AT5G11690";"ATTIM17-3 (Arabidopsis thaliana translocase inner membrane subunit 17-3); P-P-bond-hydrolysis-driven protein transmembrane transporter"
"250344_at";5444;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.446;"0.0048";"0,0001";"AT5G11930";"glutaredoxin family protein"
"250346_at";5446;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.7176;"0.0712";"0.0036";"AT5G11950";"Encodes a protein of unknown function. It has been crystallized and shown to be structurally almost identical to the protein encoded by At2G37210."
"250366_at";5466;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.5368;"0.01";"0,0003";"AT5G11420";"similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G25460.1); similar to unknown [Ricinus communis] (GB:CAB02653.1); contains InterPro domain Protein of unknown function DUF642 (InterPro:IPR006946); contains InterPro domain Galactose-binding like (InterPro:IPR008979)"
"250396_at";5496;NA;NA;NA;NA;NA;NA;NA;NA;NA;7.7317;"0";"0";"AT5G10970";"zinc finger (C2H2 type) family protein"
"250399_at";5499;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.5633;"0.016";"0,0002";"AT5G10750";"similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G24990.1); similar to hypothetical protein [Vitis vinifera] (GB:CAN83078.1); contains InterPro domain Protein of unknown function DUF1336 (InterPro:IPR009769)"
"250407_at";5507;0.4423;"0.0699";"0,0004";NA;NA;NA;NA;NA;NA;NA;NA;NA;"AT5G10870";"ATCM2 (CHORISMATE MUTASE 2); chorismate mutase"
"250426_at";5526;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.489;"0.0062";"0,0001";"AT5G10510";"AIL6 (AINTEGUMENTA-LIKE 6); DNA binding / transcription factor"
"250438_at";5538;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.4583;"0.0042";"0,0001";"AT5G10580";"similar to unknown protein [Arabidopsis thaliana] (TAIR:AT4G31330.1); similar to hypothetical protein [Vitis vinifera] (GB:CAN79714.1); contains InterPro domain Protein of unknown function DUF599 (InterPro:IPR006747)"
"250443_at";5543;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.4915;"0.0058";"0,0001";"AT5G10520";"RBK1 (ROP BINDING PROTEIN KINASES 1); kinase"
"250445_at";5545;16.335;"0";"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;"AT5G10760";"aspartyl protease family protein"
"250446_at";5546;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.6369;"0.0403";"0.0018";"AT5G10770";"chloroplast nucleoid DNA-binding protein, putative"
"250447_at";5547;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.7111;"0.0062";"0,0001";"AT5G10800";"RNA recognition motif (RRM)-containing protein"
"250448_at";5548;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.5169;"0.0193";"0,0003";"AT5G10820";"integral membrane transporter family protein"
"250449_at";5549;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.714;"0.0034";"0";"AT5G10830";"embryo-abundant protein-related"
"250450_at";5550;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.502;"0.0069";"0,0002";"AT5G10280";"MYB92 (myb domain protein 92); DNA binding / transcription factor"
"250463_at";5563;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.6836;"0.0512";"0.0024";"AT5G10030";"TGA4 (TGACG MOTIF-BINDING FACTOR 4); DNA binding / calmodulin binding / transcription factor"
"250467_at";5567;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.0858;"0";"0";"AT5G10100";"trehalose-6-phosphate phosphatase, putative"
"250472_at";5572;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.6286;"0.0465";"0.0021";"AT5G10210";"similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G65030.1); similar to 80A08_18 [Brassica rapa subsp. pekinensis] (GB:AAZ67603.1); contains InterPro domain C2 calcium-dependent membrane targeting (InterPro:IPR000008)"
"250474_at";5574;0.3719;"0.0383";"0,0001";NA;NA;NA;NA;NA;NA;NA;NA;NA;"AT5G10230";"ANN7/ANNAT7 (ANNEXIN ARABIDOPSIS 7); calcium ion binding / calcium-dependent phospholipid binding"
"250475_at";5575;0.397;"0.0457";"0,0001";NA;NA;NA;NA;NA;NA;NA;NA;NA;"AT5G10180";"AST68 (Sulfate transporter 2.1)"
"250485_at";5585;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.2343;"0,0001";"0";"AT5G09990";"PROPEP5 (Elicitor peptide 5 precursor)"
"250490_at";5590;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.4451;"0.0035";"0,0001";"AT5G09760";"pectinesterase family protein"
"250505_at";5605;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.6871;"0.0631";"0.0031";"AT5G09870";"CESA5 (CELLULOSE SYNTHASE 5); transferase, transferring glycosyl groups"
"250509_at";5609;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.0906;"0";"0";"AT5G09970";"CYP78A7 (cytochrome P450, family 78, subfamily A, polypeptide 7); oxygen binding"
"250517_at";5617;NA;NA;NA;NA;NA;NA;0.1984;0.0354;"0,0001";0.3545;"0,0009";"0";"AT5G08260";"SCPL35 (serine carboxypeptidase-like 35); serine carboxypeptidase"
"250533_at";5633;NA;NA;NA;NA;NA;NA;NA;NA;NA;3.1442;"0";"0";"AT5G08640";"FLS (FLAVONOL SYNTHASE)"
"250541_at";5641;0.4764;"0.0808";"0,0005";NA;NA;NA;NA;NA;NA;NA;NA;NA;"AT5G09520";"hydroxyproline-rich glycoprotein family protein"
"250565_at";5665;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.4967;"0.006";"0,0001";"AT5G08000";"E13L3 (GLUCAN ENDO-1,3-BETA-GLUCOSIDASE-LIKE PROTEIN 3)"
"250566_at";5666;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.5309;"0.0093";"0,0002";"AT5G08070";"TCP17 (TCP domain protein 17); transcription factor"
"250569_at";5669;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.6806;"0.0498";"0.0023";"AT5G08130";"BIM1 (BES1-interacting Myc-like protein 1); DNA binding / transcription factor"
"250580_at";5680;2.0075;"0.0898";"0,0006";NA;NA;NA;NA;NA;NA;NA;NA;NA;"AT5G07440";"GDH2 (GLUTAMATE DEHYDROGENASE 2); oxidoreductase"
"250589_at";5689;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.6617;"0.0058";"0,0001";"AT5G07700";"MYB76 (myb domain protein 76); DNA binding / transcription factor"
"250600_at";5700;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.5401;"0.0099";"0,0003";"AT5G07800";"flavin-containing monooxygenase family protein / FMO family protein"
"250615_at";5715;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.3457;"0.0852";"0.003";"AT5G07270";"ankyrin repeat family protein"
"250616_at";5716;NA;NA;NA;NA;NA;NA;NA;NA;NA;2.0308;"0,0003";"0";"AT5G07280";"EMS1 (EXCESS MICROSPOROCYTES1); kinase"
"250617_at";5717;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.512;"0.0192";"0,0003";"AT5G07290";"AML4 (ARABIDOPSIS MEI2-LIKE); RNA binding"
"250633_at";5733;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.5362;"0.0164";"0,0002";"AT5G07460";"PMSR2 (PEPTIDEMETHIONINE SULFOXIDE REDUCTASE 2); peptide-methionine-(S)-S-oxide reductase"
"250644_at";5744;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.3895;"0.0572";"0.0015";"AT5G06750";"protein phosphatase 2C family protein / PP2C family protein"
"250661_at";5761;NA;NA;NA;NA;NA;NA;0.2751;0.0916;"0,0003";0.3724;"0.0011";"0";"AT5G07030";"pepsin A"
"250662_at";5762;NA;NA;NA;0.2045;0.01;"0";NA;NA;NA;0.2573;"0,0002";"0";"AT5G07010";"sulfotransferase family protein"
"250665_at";5765;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.3277;"0.0937";"0.0035";"AT5G06980";"similar to unknown protein [Arabidopsis thaliana] (TAIR:AT3G12320.1)"
"250666_at";5766;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.8378;"0.0018";"0";"AT5G07100";"WRKY26 (WRKY DNA-binding protein 26); transcription factor"
"250669_at";5769;2.7251;"0.0403";"0,0001";NA;NA;NA;NA;NA;NA;NA;NA;NA;"AT5G06870";"PGIP2 (POLYGALACTURONASE INHIBITING PROTEIN 2); protein binding"
"250676_at";5776;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.3214;"0.0978";"0.0037";"AT5G06320";"NHL3 (NDR1/HIN1-like 3)"
"250680_at";5780;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.5879;"0.0099";"0,0001";"AT5G06570";"hydrolase"
"250689_at";5789;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.4292;"0.0031";"0";"AT5G06610";"similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G27690.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO23452.1); contains InterPro domain Protein of unknown function DUF620 (InterPro:IPR006873)"
"250690_at";5790;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.2765;"0,0002";"0";"AT5G06530";"ABC transporter family protein"
"250694_at";5794;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.6187;"0.0234";"0,0008";"AT5G06710";"HAT14 (homeobox-leucine zipper protein 14); DNA binding / transcription factor"
"250699_at";5799;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.7152;"0.0057";"0,0001";"AT5G06820";"SRF2 (STRUBBELIG-RECEPTOR FAMILY 2); ATP binding / kinase/ protein serine/threonine kinase"
"250719_at";5819;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.3341;"0,0005";"0";"AT5G06250";"transcription factor"
"250745_at";5845;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.4097;"0.0628";"0.0018";"AT5G05850";"leucine-rich repeat family protein"
"250746_at";5846;0.4795;"0.0842";"0,0006";NA;NA;NA;NA;NA;NA;0.4939;"0.009";"0,0002";"AT5G05880";"UDP-glucoronosyl/UDP-glucosyl transferase family protein"
"250758_at";5858;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.7182;"0.0778";"0.0041";"AT5G06000";"EIF3G2 (eukaryotic translation initiation factor 3G2); RNA binding / translation initiation factor"
"250764_at";5864;NA;NA;NA;NA;NA;NA;0.2322;0.0473;"0,0001";0.2275;"0";"0";"AT5G05960";"protease inhibitor/seed storage/lipid transfer protein (LTP) family protein"
"250775_at";5875;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.5423;"0.0192";"0,0003";"AT5G05460";"hydrolase, acting on glycosyl bonds"
"250777_at";5877;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.9226;"0.0013";"0";"AT5G05440";"similar to unknown protein [Arabidopsis thaliana] (TAIR:AT2G38310.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO48777.1); contains InterPro domain Bet v I allergen; (InterPro:IPR000916); contains InterPro domain Streptomyces cyclase/dehydrase (InterPro:IPR005031)"
"250789_at";5889;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.399;"0.0592";"0.0016";"AT5G05630";"amino acid permease family protein"
"250794_at";5894;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.3452;"0.0973";"0.0037";"AT5G05270";"chalcone-flavanone isomerase family protein"
"250828_at";5928;2.9464;"0.0366";"0,0001";NA;NA;NA;NA;NA;NA;NA;NA;NA;"AT5G05250";"similar to unknown protein [Arabidopsis thaliana] (TAIR:AT3G56360.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO41488.1)"
"250829_at";5929;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.3358;"0.095";"0.0035";"AT5G04720";"ADR1-L2 (ADR1-LIKE 2); ATP binding / nucleoside-triphosphatase/ nucleotide binding / protein binding"
"250844_at";5944;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.688;"0.0523";"0.0025";"AT5G04470";"SIM (SIAMESE)"
"250869_at";5969;NA;NA;NA;NA;NA;NA;NA;NA;NA;4.3339;"0";"0";"AT5G03840";"TFL1 (TERMINAL FLOWER 1); phosphatidylethanolamine binding"
"250881_at";5981;0.5032;"0.0927";"0,0008";NA;NA;NA;NA;NA;NA;NA;NA;NA;"AT5G04080";"similar to unknown protein [Oryza sativa (japonica cultivar-group)] (GB:BAD87214.1)"
"250892_at";5992;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.499;"0.0067";"0,0001";"AT5G03760";"ATCSLA09 (RESISTANT TO AGROBACTERIUM TRANSFORMATION 4); transferase, transferring glycosyl groups"
"250907_at";6007;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.5941;"0.0394";"0.0017";"AT5G03670";"similar to unknown protein [Arabidopsis thaliana] (TAIR:AT2G36420.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO15955.1)"
"250915_at";6015;NA;NA;NA;NA;NA;NA;NA;NA;NA;2.1498;"0,0001";"0";"AT5G03790";"ATHB51/LMI1 (LATE MERISTEM IDENTITY1); DNA binding / sequence-specific DNA binding / transcription factor"
"250918_at";6018;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.5932;"0.0178";"0,0006";"AT5G03610";"GDSL-motif lipase/hydrolase family protein"
"250933_at";6033;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.6875;"0.0617";"0.003";"AT5G03170";"FLA11 (fasciclin-like arabinogalactan-protein 11)"
"250936_at";6036;NA;NA;NA;9.8223;0.0071;"0";NA;NA;NA;1.6337;"0.0172";"0,0002";"AT5G03120";"similar to hypothetical protein [Vitis vinifera] (GB:CAN68657.1)"
"250937_at";6037;NA;NA;NA;NA;NA;NA;4.8068;0.0138;"0";4.3777;"0";"0";"AT5G03230";"similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G60680.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO21845.1); contains InterPro domain Protein of unknown function DUF584 (InterPro:IPR007608)"
"250942_at";6042;7.7404;"0.0047";"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;"AT5G03350";"legume lectin family protein"
"250968_at";6068;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.4798;"0.0253";"0,0004";"AT5G02890";"transferase family protein"
"250969_at";6069;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.7204;"0.0699";"0.0036";"AT5G02740";"nucleotide binding"
"250972_at";6072;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.4689;"0.0264";"0,0005";"AT5G02840";"LCL1 (LHY/CCA1-LIKE 1); DNA binding / transcription factor"
"250982_at";6082;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.6042;"0.0232";"0,0008";"AT5G03150";"JKD (JACKDAW); nucleic acid binding / protein binding / protein homodimerization/ transcription factor/ zinc ion binding"
"250983_at";6083;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.2263;"0";"0";"AT5G02780";"In2-1 protein, putative"
"250984_at";6084;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.4288;"0.0417";"0,0009";"AT5G02800";"protein kinase family protein"
"250987_at";6087;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.4311;"0.0412";"0,0009";"AT5G02860";"pentatricopeptide (PPR) repeat-containing protein"
"250992_at";6092;NA;NA;NA;NA;NA;NA;0.2707;0.0824;"0,0002";NA;NA;NA;"AT5G02260";"ATEXPA9 (ARABIDOPSIS THALIANA EXPANSIN A9)"
"251013_at";6113;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.8265;"0.0026";"0";"AT5G02540";"short-chain dehydrogenase/reductase (SDR) family protein"
"251017_at";6117;0.2806;"0.0076";"0";0.1427;0;"0";0.0567;0;"0";0.0521;"0";"0";"AT5G02760";"protein phosphatase 2C family protein / PP2C family protein"
"251019_at";6119;0.4194;"0.0571";"0,0002";NA;NA;NA;NA;NA;NA;NA;NA;NA;"AT5G02420";"similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G08180.1); similar to hypothetical protein [Vitis vinifera] (GB:CAN68753.1)"
"251020_at";6120;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.4592;"0.0397";"0,0009";"AT5G02270";"ATNAP9 (Non-intrinsic ABC protein 9)"
"251028_at";6128;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.5005;"0.0062";"0,0001";"AT5G02230";"haloacid dehalogenase-like hydrolase family protein"
"251039_at";6139;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.5544;"0.0114";"0,0003";"AT5G02020";"similar to unknown protein [Arabidopsis thaliana] (TAIR:AT3G55646.1); similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G59080.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO15731.1)"
"251040_at";6140;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.3657;"0.0679";"0.002";"AT5G02250";"EMB2730/RNR1 (EMBRYO DEFECTIVE 2730); RNA binding / ribonuclease"
"251060_at";6160;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.7207;"0.0835";"0.0045";"AT5G01820";"ATSR1 (SERINE/THREONINE PROTEIN KINASE 1); kinase"
"251072_at";6172;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.1599;"0";"0";"AT5G01740";"similar to SAG20 (WOUND-INDUCED PROTEIN 12) [Arabidopsis thaliana] (TAIR:AT3G10985.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO48816.1); contains InterPro domain Wound-induced protein, Wun1 (InterPro:IPR009798)"
"251108_at";6208;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.3371;"0.0877";"0.0031";"AT5G01620";"similar to unknown protein [Arabidopsis thaliana] (TAIR:AT2G38320.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO48780.1); contains InterPro domain Protein of unknown function DUF231, plant (InterPro:IPR004253)"
"251109_at";6209;0.3497;"0.028";"0,0001";NA;NA;NA;NA;NA;NA;NA;NA;NA;"AT5G01600";"ATFER1 (FERRETIN 1); ferric iron binding"
"251110_at";6210;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.4651;"0.0386";"0,0008";"AT5G01260";"glycoside hydrolase starch-binding domain-containing protein"
"251116_at";6216;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.6851;"0.0928";"0.0051";"AT3G63470";"SCPL40 (serine carboxypeptidase-like 40); serine carboxypeptidase"
"251117_at";6217;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.3845;"0.0747";"0.0024";"AT3G63390";"similar to unnamed protein product [Vitis vinifera] (GB:CAO22605.1)"
"251124_s_at";6224;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.9197;"0,0008";"0";"AT5G01050;AT5G01040";"[AT5G01050, laccase family protein / diphenol oxidase family protein];[AT5G01040, LAC8 (laccase 8); copper ion binding / oxidoreductase]"
"251132_at";6232;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.4284;"0.0026";"0";"AT5G01200";"myb family transcription factor"
"251140_at";6240;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.6838;"0.0498";"0.0023";"AT5G01090";"legume lectin family protein"
"251141_at";6241;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.7245;"0.0952";"0.0053";"AT5G01075";"beta-galactosidase"
"251142_at";6242;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.3794;"0.0621";"0.0018";"AT5G01015";"similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G65295.1); similar to hypothetical protein [Vitis vinifera] (GB:CAN82885.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO45347.1)"
